BillingCity;BillingCountry;BillingPostalCode;BillingState;BillingStreet;CEP__c;Codigo_do_Cliente_SAP__c;CodigoClienteSAPRecebedor_DFV__c;Inscricao_Estadual__c;Inscricao_Municipal__c;Inscricao_SUFRAMA__c;Inscricao_INSS_CEI__c;RNE__c;UFCapex__c;Data_abertura_empresa__c;Data_Expedicao_RNE__c;Status_da_Conta__c;Caldeira__c;Corporativo__c;Cozinha_Industrial__c;Ecodriyer__c;Forno__c;Gerador_Eletrico__c;Key_Account__c;Orgao_Publico__c;SMG__c;TPC__c;Usina_de_Asfalto__c;Venda_Spot__c;Condicao_de_Pagamento__c;Escritorio_de_Vendas2__c;Grupo_Clientes2__c;Grupo_de_Contas2__c;Subsegmento__c;Estabelecimento_Unidade_de_Negocio_SHV__c;Consultor_Remunerado_pela_Prospec_o__c;OwnerId;Vendedor_VIc;Latitude__c;Longitude__c;Mesorregiao__c;BairroCapexc;Cidade_Satelite__c;Complemento2c;Nome_Fantasia_Apelidoc;Condicoes_de_abastecimentoc;Rua_nc;Mes_de_Reajustec;Cidadec;Paisc;Name;Regiao__c;Numero_do_Documento__c;Numero__c;Codigo_Parceiro_Negocio__c;RecordTypeId;Segmentoc;ShippingCity;ShippingCountry;ShippingPostalCode;ShippingState;ShippingStreet;Tipoc;Ativacao_de_clientec;Inativacao_de_Clientec;Dados_Adicionaisc;Politica_de_Relacionamentoc;Volume_Potencial__c;Id
BELO HORIZONTE;BR;30360-670;MG;"AV RAJA GABAGLIA 4987 SANTA LUCIA ";30575-090;0001188185;0001937333;0622703730097;ISENTO;;00000000000000000000;NULL;MG;NULL;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjABCIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvqMAF;a0BA000000BkujYMAR;005F00000058bqaIAA;005F0000001d3IpIAI;NULL;;;NULL;BURITIS;;;CONSTRUTORA OLIVEIRA BARBOSA LTDA;Entregando;R FIDELIS MARTINS;;BELO HORIZONTE;BR;CONSTRUTORA OLIVEIRA BARBOSA LTDA;NULL;20518700000180;NULL;NULL;012A0000000ernMIAQ;a0AA0000005k9H9MAI;BELO HORIZONTE;BR;30575-090;MG;"R FIDELIS MARTINS  BURITIS ";Pessoa Jurídica;;;;D;0.67;001F000000n5eNrIAI
GUARULHOS;BR;07111-010;SP;"R SILVIO BARBOSA 427 CAMARGOS ";07111-010;0001037296;0001037296;ISENTO;ISENTO;;00000000000000000000;NULL;SP;NULL;NULL;Ativo;false;false;false;false;true;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjAB0IAN;a15F0000003QQafIAG;a17F000000R17A2IAJ;a0CF000000OdDvkMAF;a0BA000000Bkul4MAB;005F0000001vkhkIAA;005F0000006F0eaIAC;NULL;;;NULL;CAMARGOS;;;NOBORO TERUIA;Entregando;R SILVIO BARBOSA;;GUARULHOS;BR;NOBORO TERUIA;NULL;20944560806;427;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;GUARULHOS;BR;07111-010;SP;"R SILVIO BARBOSA 427 CAMARGOS ";Pessoa Física;;;;;1.612;001A000000d7DkhIAE
VOLTA REDONDA;BR;27240-560;RJ;"AV DE PAULO ERLEI ALVES ABRANTES 8329 TRES POCOS ";27240-560;0003616429;0003616429;86901757;ISENTO;;00000000000000000000;NULL;RJ;2012-12-17;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hWIAR;a0xF000001OjAB8IAN;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvoMAF;a0BA000000Bkuk8MAB;0054z00000AKBnxAAH;0054z00000AKBnxAAH;NULL;;;NULL;TRES POCOS;;;MERCADO DAS BEBIDAS;Entregando;AV DE PAULO ERLEI ALVES ABRANTES;12 DEZEMBRO;VOLTA REDONDA;BR;SILVIA DIAS GOMES;NULL;17308555000106;8329;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;VOLTA REDONDA;BR;27240-560;RJ;"AV DE PAULO ERLEI ALVES ABRANTES 8329 TRES POCOS ";Pessoa Jurídica;NOVO NEGÓCIO;;;;0;0012A00002HIycMQAT
CAMPINAS;BR;13073-370;SP;"RUA DONA JOANA DE GUSMAO 65 JARDIM GUANABARA ";13073-370;0003700556;0003700556;795582480116;ISENTO;;00000000000000000000;NULL;SP;2015-03-24;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hZIAR;a0xF000001OjAB6IAN;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDw3MAF;a0BA000000Bkul7MAB;005F0000002M8OYIA0;005F0000005NnziIAC;NULL;;;NULL;JARDIM GUANABARA;;;EMPORIO FAZENDA;Entregando;RUA DONA JOANA DE GUSMAO;05 MAIO;CAMPINAS;BR;ELISE SCHEMBERG 98054996004;NULL;22107780000106;65;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;CAMPINAS;BR;13073-370;SP;"RUA DONA JOANA DE GUSMAO 65 JARDIM GUANABARA ";Pessoa Jurídica;NOVO NEGÓCIO;;;;0.045;0011Y00002q2hD5QAI
TERESÓPOLIS;BR;25954-250;RJ;RUA TUPINAMBÁS 28 MEUDON PASSANDO A IGREJA ADVENTI;25954-250;0003993965;0003993965;ISENTO;ISENTO;;00000000000000000000;NULL;RJ;NULL;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hVIAR;NULL;a15F0000003QQafIAG;0124z000000xUSCAA2;a0CF000000OdDvkMAF;a0BA000000Bkuk9MAB;005A0000001beprIAA;005A0000001beprIAA;NULL;;;NULL;MEUDON;;PASSANDO A IGREJA ADVENTISTA DO MEU DOM;Marcos Paulo Alves Ciqueira;Entregando;RUA TUPINAMBÁS;;TERESÓPOLIS;BR;Marcos Paulo Alves Ciqueira;NULL;06307458976;28;NULL;012A0000000ernMIAQ;a0AA0000005k9H8MAI;TERESÓPOLIS;BR;25954-250;RJ;RUA TUPINAMBÁS 28 MEUDON PASSANDO A IGREJA ADVENTI;Pessoa Física;;;;;00000;B2C20230109123028
PAUDALHO;BR;55825-000;PE;RUA UM 660 DISTRITO NOVA GUADALAJARA GRANJA CAROLI;55825-000;0003499405;0003499405;060963875;ISENTO;;00000000000000000000;NULL;PE;2015-01-29;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;NULL;NULL;NULL;a17F000000R17A0IAJ;a0CF000000OdDvqMAF;a0B4z00001PwiM6EAJ;NULL;005A0000001KwVdIAK;NULL;;;NULL;DISTRITO NOVA GUADALAJARA;;GRANJA CAROLINA;LIDER PRE FABRICADOS;;RUA UM;08 AGOSTO;PAUDALHO;BR;LIDER PRÉ FABR DE CIM EIRELLI;NULL;02046455000254;660;NULL;012A0000000ernMIAQ;a0AA0000005k9H9MAI;PAUDALHO;BR;55825-000;PE;RUA UM 660 DISTRITO NOVA GUADALAJARA GRANJA CAROLI;Pessoa Jurídica;NOVO NEGÓCIO;;WALTER LOPES;E;400.0;001F000001rEDJJIA4
SAO MIGUEL;BR;59920-000;RN;RUA MOREIRA FILHO 179 CENTRO PADARIA PAO QUENTE;59920-000;0003560017;0003560017;204458056;ISENTO;;00000000000000000000;NULL;RN;2016-02-29;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hZIAR;a0xF000001OjABYIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDwEMAV;a0B4z00001PwiM1EAJ;005F0000002GsmqIAC;0052A000009LAW4QAO;NULL;;;NULL;CENTRO;;PADARIA PAO QUENTE;PAO QUENTE;Entregando;RUA MOREIRA FILHO;01 JANEIRO;SAO MIGUEL;BR;RIBEIRO E BARROS LTDA ME;NULL;24271343000159;179;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;SAO MIGUEL;BR;59920-000;RN;RUA MOREIRA FILHO 179 CENTRO PADARIA PAO QUENTE;Pessoa Jurídica;NOVO NEGÓCIO;;;D;0;0012A000026IBX0QAO
APARECIDA DE GOIANIA;BR;74917-500;GO;R JAMUNDA  JD MONT SERRAT QUADRA41 LOTE 10;74917-500;0001106902;0001106902;104537779;ISENTO;;00000000000000000000;NULL;GO;NULL;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjABOIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDw6MAF;a0BA000000BkuivMAB;005F0000001vq03IAA;005F0000001vq03IAA;NULL;;;NULL;JD MONT SERRAT;;QUADRA41 LOTE 10;PANIFICADORA E MERCEARIA JOTAGE;Entregando;R JAMUNDA;;APARECIDA DE GOIANIA;BR;JOAO NAIR DE MORAIS ME;NULL;11105417000135;NULL;NULL;012A0000000ernMIAQ;a0AA0000005k9H9MAI;APARECIDA DE GOIANIA;BR;74917-500;GO;R JAMUNDA  JD MONT SERRAT QUADRA41 LOTE 10;Pessoa Jurídica;;;;;00000;001A000000d7UDEIA2
VITORIA;BR;29050-420;ES;AV AMERICO BUAIZ ED SHOPPING VITORIA 200 ENSEADA D;29050-420;0001110723;0001110723;081576455;ISENTO;;00000000000000000000;NULL;ES;NULL;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;NULL;a0xF000001OjABAIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDwCMAV;a0BA000000BkukgMAB;005F0000005Nk2rIAC;0052A000008OXH3QAO;NULL;;;NULL;ENSEADA DO SUA;;LOJA 265;PIZZARIA D AMPEZZO LTDA EPP;Entregando;AV AMERICO BUAIZ ED SHOPPING VITORIA;;VITORIA;BR;PIZZARIA D AMPEZZO LTDA EPP;NULL;39275789000129;200;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;VITORIA;BR;29050-420;ES;AV AMERICO BUAIZ ED SHOPPING VITORIA 200 ENSEADA D;Pessoa Jurídica;;;;;0;001A000000d7MSlIAM
DUQUE DE CAXIAS;BR;25250-000;RJ;"R PASTOR MANOEL AVELINO DE SOUZA 10 XEREM ";25250-000;0001275372;0001275372;86640260;ISENTO;;00000000000000000000;NULL;RJ;NULL;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hZIAR;a0xF000001OjAB8IAN;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDwCMAV;a0BA000000Bkuk9MAB;005F0000001xi6HIAQ;0052A000008NCOuQAO;NULL;;;NULL;XEREM;;;REIFFS RESTAURANTE LTDA ME;Entregando;R PASTOR MANOEL AVELINO DE SOUZA;04 ABRIL;DUQUE DE CAXIAS;BR;REIFFS RESTAURANTE LTDA ME;NULL;19650900000102;10;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;DUQUE DE CAXIAS;BR;25250-000;RJ;"R PASTOR MANOEL AVELINO DE SOUZA 10 XEREM ";Pessoa Jurídica;;;;A;0.36;001F0000015egMiIAI
CAMPO FLORIDO;BR;38130-000;MG;"RUA EVALDA ROCHA OLIVEIRA 43 RECANTO DAS FLORES ";38130-000;0003828429;0003828429;1142962560127;181/2020;;00000000000000000000;NULL;MG;2020-05-25;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjABFIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvgMAF;a0BA000000BkujWMAR;NULL;0054z000009NFXqAAO;0054z000009NFXqAAO;;;NULL;RECANTO DAS FLORES;;;HILDO SUPER GAS;Entregando;RUA EVALDA ROCHA OLIVEIRA;;CAMPO FLORIDO;BR;HILDO BATISTA DA SILVA EIRELI;NULL;16788077000299;43;NULL;012A0000000ernRIAQ;a0AF000000KjxfyMAB;CAMPO FLORIDO;BR;38130-000;MG;"RUA EVALDA ROCHA OLIVEIRA 43 RECANTO DAS FLORES ";Pessoa Jurídica;NOVO NEGÓCIO;;;;0;0014z00001ckCENAA2
BRASILIA;BR;72120-045;DF;"Q CND 4  TAGUATINGA NORTE TAGUATINGA LOTE 20 LOJA ";72120-045;0001303408;0001303408;0770719000101;ISENTO;;00000000000000000000;NULL;DF;NULL;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hdIAB;a0xF000001OjABMIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDwCMAV;a0BA000000BkuiyMAB;005F00000029obNIAQ;0051Y00000BfFN7QAN;NULL;;;NULL;TAGUATINGA NORTE TAGUATINGA;;LOTE 20 LOJA 07 E 08;FURUCHO S RISOTOS E MASSAS;Entregando;Q CND 4;02 FEVEREIRO;BRASILIA;BR;D2L RESTAURANTE EIRELI ME;NULL;21703230000197;NULL;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;BRASILIA;BR;72120-045;DF;"Q CND 4  TAGUATINGA NORTE TAGUATINGA LOTE 20 LOJA ";Pessoa Jurídica;;;;D;0;001F000001MbH7XIAV
LAURO DE FREITAS;BR;42700-000;BA;R A 593 AREIA BRANCA LOT CHACARAS CIAMAR;42700-000;0000331199;0000331199;ISENTO;ISENTO;;00000000000000000000;NULL;BA;NULL;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjABUIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvqMAF;a0BA000000BkujLMAR;005F0000001wHAMIA2;005F0000001wHAQIA2;NULL;;;NULL;AREIA BRANCA;;LOT CHACARAS CIAMAR;CONSTRUTORA LUSTOZA;Entregando;R A;;LAURO DE FREITAS;BR;CONSTRUTORA LUSTOZA LTDA;NULL;01785355000104;593;NULL;012A0000000ernMIAQ;a0AA0000005k9H9MAI;LAURO DE FREITAS;BR;42700-000;BA;R A 593 AREIA BRANCA LOT CHACARAS CIAMAR;Pessoa Jurídica;;;;;00015;001A000000dGXEoIAO
SALVADOR;BR;40717-308;BA;"R SAO FELIX 38 PLATAFORMA ";40717-308;0003633487;0003633487;078690898;ISENTO;;00000000000000000000;NULL;BA;2008-09-22;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjABVIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvhMAF;a0BA000000BkujNMAR;NULL;0052A00000965AjQAI;0052A00000965AjQAI;;;NULL;PLATAFORMA;;;BARIRI GAS;Entregando;R SAO FELIX;;SALVADOR;BR;ARMANDO LOPES DA CRUZ;NULL;10423147000148;38;NULL;012A0000000ernRIAQ;a0AF000000KjxfyMAB;SALVADOR;BR;40717-308;BA;"R SAO FELIX 38 PLATAFORMA ";Pessoa Jurídica;NOVO NEGÓCIO;;;;19500;0012A00002LWD1FQAX
PRAIA GRANDE;BR;11700-310;SP;"RUA HEITOR SANCHES 551 CANTO DO FORTE ESQUINA COM ";11700-310;0003704529;0003704529;558502156114;ISENTA;;00000000000000000000;NULL;SP;2019-06-03;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hdIAB;a0xF000001OjAB0IAN;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDwCMAV;a0BA000000BkulCMAR;0051Y00000AErQBQA1;005F0000004VfirIAC;NULL;;;NULL;CANTO DO FORTE;;ESQUINA COM A MALLET;OHATA SUHI;Entregando;RUA HEITOR SANCHES;06 JUNHO;PRAIA GRANDE;BR;MALLET SUSHI RESTAURANTE EIRELI;NULL;33818974000136;551;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;PRAIA GRANDE;BR;11700-310;SP;"RUA HEITOR SANCHES 551 CANTO DO FORTE ESQUINA COM ";Pessoa Jurídica;NOVO NEGÓCIO;;;C;0.600;0011Y00002q4JcsQAE
CURITIBA;BR;80320-310;PR;"R TABAJARAS  VILA IZABEL ";80320-310;0001937733;0001937733;ISENTO;ISENTO;;00000000000000000000;NULL;PR;NULL;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hdIAB;a0xF000001OjABGIA3;a15F0000003QQafIAG;a17F000000R17A0IAJ;a0CF000000OdDvpMAF;a0BA000000BkujyMAB;NULL;005A0000001KwVdIAK;NULL;;;NULL;VILA IZABEL;;;CONDOMINIO EDIFICIO SOLEDADE;Entregando;R TABAJARAS;11 NOVEMBRO;CURITIBA;BR;CONDOMINIO EDIFICIO SOLEDADE;NULL;72464076000189;NULL;NULL;012A0000000ernMIAQ;a0AA0000005k9H8MAI;CURITIBA;BR;80320-310;PR;"R TABAJARAS  VILA IZABEL ";Pessoa Jurídica;;;;;0.178;001F000001WmO8vIAF
JOAO PESSOA;BR;58040-040;PB;"AVENIDA JULIA FREIRE 1025 TORRE ";58040-040;0003657435;0003657435;163213259;ISENTO;;00000000000000000000;NULL;PB;2018-07-30;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hdIAB;a0xF000001OjABYIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDw9MAF;a0B4z00001PwiLwEAJ;005F0000005NSRKIA4;0051Y00000Bf6hSQAR;NULL;;;NULL;TORRE;;;PADARIA SUPER PAO;Entregando;AVENIDA JULIA FREIRE;08 AGOSTO;JOAO PESSOA;BR;PADARIA SUPER PAO LTDA;NULL;31054767000127;1025;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;JOAO PESSOA;BR;58040-040;PB;"AVENIDA JULIA FREIRE 1025 TORRE ";Pessoa Jurídica;NOVO NEGÓCIO;;;C;0.32;0012A00002Roz3PQAR
SAO JOAO DO MANHUACU;BR;36918-000;MG;ROD BR 116 613 ZONA RURAL KM 613;36918-000;0000880287;0000880287;7600855130008;ISENTO;;00000000000000000000;NULL;MG;NULL;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjABCIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;NULL;a0BA000000BkujcMAB;NULL;005A0000001KwVdIAK;NULL;;;NULL;ZONA RURAL;;KM 613;CHURRASCARIA RODIZIO GAUCHO LTDA ME;Entregando;ROD BR 116;;SAO JOAO DO MANHUACU;BR;CHURRASCARIA RODIZIO GAUCHO LTDA ME;NULL;03894457000185;613;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;SAO JOAO DO MANHUACU;BR;36918-000;MG;ROD BR 116 613 ZONA RURAL KM 613;Pessoa Jurídica;;;;;00000;001A000000d7a97IAA
NOVO HAMBURGO;BR;93510-340;RS;"R AUGUSTO JUNG 101 CENTRO ";93510-340;0000014518;0000014518;ISENTO;ISENTO;;00000000000000000000;NULL;RS;NULL;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjABKIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvpMAF;a0BA000000BkuizMAB;;005F0000001czliIAA;NULL;;;NULL;CENTRO;;;PLAZA ELDORADO;Entregando;R AUGUSTO JUNG;09 SETEMBRO;NOVO HAMBURGO;BR;COND EDIFICIO RESIDENCIAL PLAZA ELD;NULL;01984044000166;101;NULL;012A0000000ernMIAQ;a0AA0000005k9H8MAI;NOVO HAMBURGO;BR;93510-340;RS;"R AUGUSTO JUNG 101 CENTRO ";Pessoa Jurídica;;;;A;1.371;001A000000d7bbaIAA
ITABORAI;BR;24813-207;RJ;RUA DUARTE LOPES  RETIRO SAO JOAQUIM QUADRA 75 LOT;24813-207;0003561187;0003561187;87261603;ISENTO;;00000000000000000000;NULL;RJ;2016-10-14;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hoIAB;a0xF000001OjAB8IAN;a15F0000003QQaaIAG;a17F000000R17A3IAJ;a0CF000000OdDvmMAF;a0BA000000BkukCMAR;0051Y00000BgRtbQAF;0051Y00000BgRtbQAF;NULL;;;NULL;RETIRO SAO JOAQUIM;;QUADRA 75 LOTE 29;ADS;Entregando;RUA DUARTE LOPES;02 FEVEREIRO;ITABORAI;BR;ADS COMPRA E VENDA DE SUCATA EIRELI;NULL;26352454000115;NULL;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;ITABORAI;BR;24813-207;RJ;RUA DUARTE LOPES  RETIRO SAO JOAQUIM QUADRA 75 LOT;Pessoa Jurídica;NOVO NEGÓCIO;;;E;0.06;0012A000026IsQ8QAK
ITABIRA;BR;35900-009;MG;RUA AGUA SANTA 107 CENTRO B;35900-009;0003635522;0003635522;0026769450070;ISENTO;;00000000000000000000;NULL;MG;2015-12-17;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hWIAR;a0xF000001OjABCIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDwCMAV;a0BA000000BkujZMAR;0051Y00000AVtedQAD;005F0000002GclmIAC;NULL;;;NULL;CENTRO;;B;IMPERIO LANCHES;Entregando;RUA AGUA SANTA;09 SETEMBRO;ITABIRA;BR;GEIGIANA APARECIDA VALADARES 119639;NULL;23859488000102;107;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;ITABIRA;BR;35900-009;MG;RUA AGUA SANTA 107 CENTRO B;Pessoa Jurídica;NOVO NEGÓCIO;;;;0;0012A00002LXnceQAD
ARAUCARIA;BR;83707-440;PR;"RODOVIA BR-476 894 THOMAZ COELHO ";83707-440;0003992141;0003992141;ISENTO;ISENTO;;00000000000000000000;NULL;PR;1969-04-18;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hYIAR;a0xF000001OjABGIA3;a15F0000003QQafIAG;a17F000000R17A2IAJ;a0CF000000OdDvgMAF;a0BA000000BkujyMAB;0052A000009LHnHQAW;0052A000009LHnHQAW;NULL;;;NULL;THOMAZ COELHO;;;CLOVIS INACIO DE SOUZA;Entregando;RODOVIA BR-476;12 DEZEMBRO;ARAUCARIA;BR;CLOVIS INACIO DE SOUZA;NULL;72963190972;894;NULL;012A0000000ernMIAQ;a0AA0000005k9H8MAI;ARAUCARIA;BR;83707-440;PR;"RODOVIA BR-476 894 THOMAZ COELHO ";Pessoa Física;NOVO NEGÓCIO;;;D;0.260;0014z00001pWEOoAAO
BELO HORIZONTE;BR;30430-200;MG;R MAL BITENCOURT 987 GUTIERREZ APT 401;30430-200;0000998943;0000998943;ISENTO;ISENTO;;00000000000000000000;NULL;MG;NULL;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34i5IAB;a0xF000001OjABCIA3;a15F0000003QQafIAG;a17F000000R17A2IAJ;a0CF000000OdDvkMAF;a0BA000000BkujYMAR;005F0000007f7eTIAQ;005F0000007f7eTIAQ;NULL;;;NULL;GUTIERREZ;;APT 401;" REGINA ANGELICA ARANTES LANZA";Entregando;R MAL BITENCOURT;;BELO HORIZONTE;BR;" REGINA ANGELICA ARANTES LANZA";NULL;68233000604;987;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;BELO HORIZONTE;BR;30430-200;MG;R MAL BITENCOURT 987 GUTIERREZ APT 401;Pessoa Física;;;;;0;001A000000d7FP0IAM
GOIANIA;BR;74533-150;GO;"R 255 628 SETOR COIMBRA ";74533-150;0003984357;0003984357;102796866;ISENTO;;00000000000000000000;NULL;GO;1973-04-06;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hdIAB;a0xF000001OjABOIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDwDMAV;a0BA000000BkuivMAB;005F0000002l9qJIAQ;005F0000002l9qJIAQ;NULL;;;NULL;SETOR COIMBRA;;;ASSOCIACAO DE PAIS E AMIGOS DOS EXC;Entregando;R 255;10 OUTUBRO;GOIANIA;BR;ASSOCIACAO DE PAIS E AMIGOS DOS EXC;NULL;01240688000140;628;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;GOIANIA;BR;74533-150;GO;"R 255 628 SETOR COIMBRA ";Pessoa Jurídica;NOVO NEGÓCIO;;;D;0.00;0014z00001nz1LjAAI
SANTA MARIA DE JETIBA;BR;29645-000;ES;"EST SANTA MARIA X RECREIO  ZONA RURAL SANTA MARIA ";29645-000;0002744676;0002744676;ISENTO;ISENTO;;00000000000000000000;NULL;ES;1968-08-27;NULL;Ativo;false;false;false;false;true;false;false;false;false;false;false;false;a0nF000000P34hZIAR;a0xF000001OjABAIA3;a15F0000003QQafIAG;a17F000000R17A2IAJ;a0CF000000OdDvjMAF;a0BA000000BkukgMAB;005A0000001bef8IAA;005A0000001beeyIAA;NULL;;;NULL;ZONA RURAL SANTA MARIA DE JETIBA;;;VOLKMAR BERGER;Entregando;EST SANTA MARIA X RECREIO;07 JULHO;SANTA MARIA DE JETIBA;BR;VOLKMAR BERGER;NULL;88138453753;NULL;NULL;012A0000000ernMIAQ;a0AA0000005k9HAMAY;SANTA MARIA DE JETIBA;BR;29645-000;ES;"EST SANTA MARIA X RECREIO  ZONA RURAL SANTA MARIA ";Pessoa Física;NOVO NEGÓCIO;;;B;1.2;001F000001osZhTIAU
